Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
56,Willie Burton\burtowi01,SF,25,MIA,53,697,15.6,0.526,0.053,0.5579999999999999,8.1,14.0,11.1,8.9,1.3,2.0,13.3,25.1,,0.9,0.7,1.6,0.113,,-1.4,-1.7,-3.1,-0.2,East
57,Mitchell Butler\butlemi02,SG,23,WSB,75,1321,13.0,0.521,0.012,0.431,9.2,10.7,10.0,8.9,2.0,0.9,14.9,19.0,,0.7,0.4,1.1,0.04,,-1.2,-1.3,-2.5,-0.2,East
58,Michael Cage\cagemi01,C,32,SEA,82,1708,11.9,0.545,0.003,0.23600000000000002,11.3,19.5,15.4,3.5,2.3,1.6,12.8,10.0,,1.9,3.0,4.9,0.13699999999999998,,-1.2,1.9,0.7,1.2,West
59,Elden Campbell\campbel01,PF,25,LAL,76,2253,15.2,0.503,0.002,0.33799999999999997,7.7,17.7,12.5,5.7,1.4,4.1,9.6,19.2,,2.0,2.2,4.2,0.08900000000000001,,-1.9,0.7,-1.2,0.5,West
60,Tony Campbell\campbto01,SF,31,TOT,63,1214,13.3,0.491,0.055,0.23399999999999999,6.8,10.7,8.6,11.4,2.1,0.8,12.9,22.8,,0.4,1.2,1.5,0.061,,-1.8,-0.9,-2.7,-0.2,NaN
60,Tony Campbell\campbto01,SF,31,NYK,22,379,13.3,0.544,0.023,0.289,8.5,9.4,9.0,13.2,2.7,0.2,16.7,20.0,,0.3,0.7,1.1,0.139,,-0.8,1.6,0.8,0.3,East
60,Tony Campbell\campbto01,SF,31,DAL,41,835,13.3,0.473,0.065,0.21600000000000003,6.0,11.3,8.5,10.6,1.8,1.1,11.6,24.1,,0.0,0.4,0.5,0.026000000000000002,,-2.3,-2.0,-4.3,-0.5,West
61,Antoine Carr\carran01,PF,32,SAS,34,465,12.8,0.534,0.006,0.363,3.1,9.0,6.2,5.1,1.0,3.1,7.5,19.3,,0.7,0.5,1.2,0.124,,-2.1,-0.9,-3.0,-0.1,West
62,Bill Cartwright\cartwbi01,C,36,CHI,42,780,10.1,0.544,0.0,0.298,6.4,16.4,11.4,10.5,0.5,0.7,18.8,15.1,,0.4,0.9,1.3,0.077,,-3.1,-0.1,-3.2,-0.2,East
63,Sam Cassell\cassesa01,PG,24,HOU,66,1122,13.1,0.506,0.22699999999999998,0.276,2.6,10.2,6.6,25.8,2.7,0.4,17.8,20.9,,0.4,1.8,2.2,0.09300000000000001,,-1.5,0.2,-1.3,0.2,West
64,Duane Causwell\causwdu01,C,25,SAC,41,674,11.8,0.545,0.0,0.496,10.8,19.6,15.1,2.3,1.4,4.6,16.5,12.5,,0.4,0.8,1.2,0.085,,-3.5,1.2,-2.3,0.0,West
65,Cedric Ceballos\cebalce01,SF,24,PHO,53,1602,20.9,0.5660000000000001,0.011000000000000001,0.278,10.9,13.3,12.1,9.4,1.8,0.9,9.4,25.8,,4.1,1.4,5.5,0.166,,2.7,-1.4,1.4,1.4,West
